ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector
ETR,Utilities,27.452684,3.7151299,2.747728,1.93,-4400858112.0,-0.019,6.8517143548387125
EOG,Energy,11.834371,2.9874668,2.633592,1.19,4478750208.0,1.094,-8.005940619047617
EQT,Energy,12.50348,3.6270013,1.3345385,1.53,2460903936.0,-0.74,-7.336831619047619
EFX,Industrials,33.815468,3.507684,5.165785,1.92,947537472.0,0.007,-1.9877815733333364
EQIX,Real Estate,69.80077,10.785839,7.427499,3.47,3776000000.0,0.288,15.120346732142863
ERIE,Financial Services,23.80127,3.3293393,5.5592294,2.67,481207744.0,0.032,4.623124711764703
ESS,Real Estate,44.884556,10.012582,3.4736676,7.02,1043926720.0,-0.718,-9.795867267857133
EG,Financial Services,7.7860913,0.8394609,0.9238841,0.97,2064625024.0,-0.115,-11.392053988235297
EVRG,Utilities,21.160305,3.1464195,1.8755075,2.3,-1443362560.0,0.23,0.5593353548387121
ES,Utilities,18.740261,1.941446,1.6628639,2.65,811961344.0,-0.854,-1.8607086451612886
EXC,Utilities,16.566177,1.8330271,1.5662148,2.61,-2685125120.0,-0.002,-4.034792645161289
EXE,Energy,8.281897,1.7570366,1.1599156,1.06,1466249984.0,-0.455,-11.558414619047618
EXPE,Consumer Cyclical,20.40088,2.4781885,32.175686,1.01,3434374912.0,1.887,-23.167349595744682
EXPD,Industrials,27.17201,2.013148,11.439092,3.13,797562240.0,0.515,-8.631239573333339
EXR,Real Estate,32.507725,9.256506,2.346698,6.39,1499437568.0,0.06,-22.172698267857136
XOM,Energy,21.35604,1.89219,2.6339567,1.29,20671000576.0,1.128,1.5157283809523818
FFIV,Technology,30.102789,6.4645023,5.567936,1.37,717135488.0,0.114,-21.76656094736842
FDS,Financial Services,19.779829,4.3764515,5.2823744,1.37,621161344.0,-0.096,0.6016837117647036
FICO,Technology,33.326088,10.374391,-6.060598,0.81,774413504.0,0.412,-18.54326194736842
FAST,Industrials,43.29915,6.644139,14.28652,3.72,916124992.0,0.146,7.495900426666658
FRT,Real Estate,23.686869,7.6753206,3.1787992,3.59,456137632.0,-0.456,-30.993554267857135
FDX,Industrials,17.57628,0.814654,2.4725661,1.39,5656625152.0,-0.043,-18.22696957333334
FDXF,Industrials,31.14155,2.3188486,-41.034897,,-511124992.0,-0.611,-4.66169957333334
FERG,Industrials,23.543756,1.4730022,7.4698944,1.49,,0.069,-12.25949357333334
FIS,Technology,6.233487,1.7153563,1.3131412,0.23,2653125120.0,,-45.63586294736842
FITB,Financial Services,18.350168,4.8960524,1.5296527,2.09,,-0.057,-0.8279772882352958
FSLR,Technology,21.865168,4.277553,2.2290719,0.6,1598684800.0,0.233,-30.00418194736842
FE,Utilities,25.229946,1.7459857,2.1105843,1.68,-2007124992.0,0.083,4.628976354838713
FLEX,Technology,42.594597,1.3924398,7.408999,0.94,625750016.0,0.52,-9.27475294736842
FTNT,Technology,53.282684,14.697861,71.32923,2.1,2265587456.0,0.439,1.4133340526315834
FTV,Technology,31.428572,4.156776,2.965848,0.98,939112512.0,0.04,-20.44077794736842
FOXA,Communication Services,17.697916,1.6652706,2.4522789,1.22,555374976.0,0.031,-30.859192155000002
FOX,Communication Services,15.742188,1.4812479,2.1812868,,555374976.0,0.031,-32.814920155
BEN,Financial Services,23.108845,1.8510498,1.468719,0.43,-2990862592.0,1.067,3.930699711764703
FCX,Basic Materials,34.911766,3.8544922,5.086053,5.66,2159249920.0,0.281,-25.318440199999998
GRMN,Technology,30.215464,7.368,6.2620716,3.61,1043656256.0,0.353,-21.65388594736842
IT,Technology,17.401617,1.892234,-74.54965,0.86,1052553024.0,0.331,-34.46773294736842
GE,Industrials,40.641514,7.0614657,20.27175,5.23,6594625024.0,0.194,4.838264426666662
GEHC,Healthcare,17.064514,1.5730219,3.0479875,2.06,1573124992.0,0.168,-16.101959096153845
GEV,Industrials,27.71113,6.2194724,21.517096,1.68,15722125312.0,0.328,-8.092119573333338
GEN,Technology,16.476608,3.3205726,6.3543077,1.39,1547124992.0,0.64,-35.39274194736842
GNRC,Industrials,47.63825,2.7484348,4.239373,0.87,289056512.0,0.92,11.83500042666666
GD,Industrials,23.540855,1.9039757,3.8879154,2.72,4400124928.0,0.134,-12.262394573333339
GM,Consumer Cyclical,38.459824,0.41998246,1.218598,0.34,21933750272.0,-0.262,-5.108405595744685
GPC,Consumer Cyclical,511.23077,0.7308813,4.0486126,1.32,917241984.0,-0.098,467.6625404042553
GPN,Industrials,43.7346,2.3924358,1.0613729,0.26,7867763200.0,-0.952,7.931350426666661
GL,Financial Services,11.335772,2.1159806,2.1340594,1.3,1163503360.0,0.197,-7.8423732882352954
GDDY,Technology,14.589896,2.4363823,1852.6416,0.68,1204950016.0,0.298,-37.279453947368424
GS,Financial Services,15.469354,4.3175845,2.7341993,1.45,,0.923,-3.7087912882352967
HAL,Energy,18.685863,1.3290316,2.703583,0.86,2052249984.0,0.161,-1.154448619047617
HIG,Financial Services,9.469613,1.2669953,1.9298812,0.12,5507500032.0,0.361,-9.708532288235295
HAS,Consumer Cyclical,16.647686,2.6534464,18.741987,1.8,688150016.0,,-26.920543595744682
HCA,Healthcare,13.614946,1.1274796,-13.3321295,1.32,3738125056.0,0.116,-19.551527096153844
DOC,Real Estate,60.57143,5.0951424,1.8832726,4.32,1645113088.0,0.682,5.891006732142863
HSIC,Healthcare,25.790087,0.7247876,3.1358786,2.04,446000000.0,0.171,-7.376386096153844
HSY,Consumer Defensive,25.690313,3.1105382,8.292307,1.07,1743636352.0,6.31,-0.26141787999999977
HPE,Technology,49.429905,1.8053598,2.7672262,0.85,3836000000.0,,-2.439444947368422
HLT,Consumer Cyclical,48.472054,14.534412,-11.802556,1.62,1393874944.0,0.141,4.903824404255317
HONA,Industrials,50.73089,2.934931,-9.229442,1.18,,-0.709,14.927640426666663
HON,Industrials,8.393695,1.8181764,3.7327955,4.16,2610374912.0,2.639,-27.409554573333338
HST,Real Estate,15.496644,2.573185,2.475874,3.62,1692375040.0,0.084,-39.18377926785713
HWM,Industrials,58.847313,11.96973,19.095604,0.8,1189874944.0,0.33,23.04406342666666
HUBB,Industrials,27.812908,3.9878252,6.344422,2.21,495812512.0,-0.009,-7.990341573333339
HUM,Healthcare,35.985825,0.31382817,2.3795476,2.14,1940999936.0,0.271,2.8193519038461545
HBAN,Financial Services,13.084616,3.7449338,1.1554922,2.02,,-0.029,-6.093529288235295
HII,Industrials,17.940477,0.90076196,2.2357724,1.14,-300249984.0,0.365,-17.862772573333338
IBM,Technology,20.73558,3.1864448,6.39056,2.41,12049750016.0,-0.018,-31.13376994736842
