ticker,sector,pe_ratio,ps_ratio,pb_ratio,peg_ratio,free_cash_flow,earnings_growth,pe_vs_sector,undervalued_flag,score,price,sma50,sma200,above_sma50,above_sma200,rsi,macd_bullish,volume_today,avg_volume_30d,volume_spike,fundamentals_score,technicals_score,headline_count,sentiment_score,sentiment_norm,macro_adjustment
GEN,Technology,17.315287,3.2544634,6.226523,1.51,1422249984.0,2.652,-91.16418454878048,True,37.18538397852176,27.21500015258789,25.536900100708007,24.10325499534607,True,True,60.43166169627556,True,1830314.0,5498123.8,False,7.2133839080310596,75,,,53.446806099538925,-3
PCG,Utilities,12.758993,1.5117459,1.2084357,1.13,-6150125056.0,0.398,-14.4117605,True,37.03198385937216,17.75,16.952528648376465,16.620077481269835,True,True,60.431636413284735,True,28104282.0,19533086.066666663,False,9.665015104392817,75,10.0,-0.0475892096757888,47.16363531197692,-3
V,Financial Services,31.058672,15.082644,19.592855,1.59,20404000768.0,0.104,10.873177505797102,False,37.02031883938241,365.4200134277344,339.7034014892578,329.3369709777832,True,True,63.84913971179163,True,5415739.0,8868807.966666667,False,6.846572487721388,75,,,53.446806099538925,-3
SYK,Healthcare,40.409615,5.290515,5.8179708,1.6,4359875072.0,0.142,7.937772475925932,False,37.00084631124957,348.7200012207031,316.58617126464844,341.74305114746096,True,True,58.55619499917833,True,1433286.0,2557259.533333333,False,6.803300202981731,75,,,53.446806099538925,-3
KVUE,Consumer Defensive,22.99405,2.4251223,3.4959276,1.61,1858000000.0,0.469,-3.961688785714284,True,36.981615677876135,19.32999992370605,18.48719993591309,17.257537760734557,True,True,47.404852055150734,True,12567697.0,20686716.566666663,False,6.760565462151884,75,,,53.446806099538925,-3
ROP,Technology,16.196175,4.6408,2.0548978,1.62,2265687552.0,2.33,-92.28329654878048,True,36.96262245972954,388.7049865722656,343.94515197753907,382.5384434509277,True,True,60.62234380632554,True,585224.0,1135530.8,False,6.718358310714999,75,,,53.446806099538925,-3
BMY,Healthcare,18.344538,2.7584515,6.663614,1.64,9851750400.0,0.092,-14.12730452407407,True,36.92533089727097,65.44999694824219,57.61426704406738,54.43371328353882,True,True,75.97357862883428,True,12034896.0,12428613.2,False,6.635488171918186,75,,,53.446806099538925,-3
SYY,Consumer Defensive,23.433334,0.48328328,17.560368,1.65,1868375040.0,-0.135,-3.5224047857142864,True,36.90702413024586,84.37000274658203,79.72782501220703,77.56799579620362,True,True,52.18447096353259,True,1330557.0,3297451.9,False,6.594806467417932,75,,,53.446806099538925,-3
HII,Industrials,20.439571,0.96467644,2.406624,1.02,634124992.0,0.0,-14.364353200000004,True,36.89745381036158,314.8500061035156,291.96558959960936,345.0352279663086,True,False,63.79509423444903,True,834571.0,524649.0333333333,True,10.715623829149497,75,10.0,-0.0705880403518676,44.12711543622154,-3
WAT,Healthcare,48.503815,9.928258,2.4473445,1.66,-502370624.0,,16.031972475925933,False,36.88893792667888,381.5299987792969,367.1590020751953,354.1873507690429,True,True,52.93036676884792,True,362790.0,891653.0,False,6.554614903935755,75,,,53.446806099538925,-3
